Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/01/2024,0,59,0,20,0,34,17,24,0,68,44,0,21,0
02/01/2024,0,70,0,40,0,15,20,25,0,63,21,0,15,0
03/01/2024,0,57,0,23,0,21,20,23,0,65,40,0,0,0
04/01/2024,0,57,0,26,0,17,15,19,18,65,40,23,0,0
05/01/2024,0,59,0,41,0,18,24,17,0,43,26,24,28,0
06/01/2024,0,74,0,42,0,56,17,25,0,54,0,0,0,0
07/01/2024,0,57,0,25,0,20,26,31,0,86,36,0,16,0
08/01/2024,0,56,0,23,0,15,0,25,0,90,36,0,31,0
09/01/2024,0,54,26,20,29,19,17,27,0,50,21,0,33,0
10/01/2024,0,64,0,29,0,21,24,22,0,70,39,0,24,0
11/01/2024,0,54,23,37,0,20,0,25,0,77,34,0,17,0
12/01/2024,0,32,0,31,0,31,0,20,0,51,22,0,0,0
13/01/2024,0,70,0,0,0,24,0,26,0,63,27,0,21,0
14/01/2024,0,59,0,20,0,24,18,28,0,83,47,0,26,0
15/01/2024,0,53,0,0,0,20,27,32,17,67,44,0,24,0
16/01/2024,0,73,0,28,0,13,14,27,0,73,44,0,0,0
17/01/2024,0,54,0,37,0,29,18,0,13,72,43,0,0,0
18/01/2024,0,46,0,24,0,15,26,25,0,58,31,0,0,0
19/01/2024,0,50,0,35,0,0,0,0,18,37,0,0,21,0
20/01/2024,0,77,0,34,0,22,23,0,0,63,23,0,0,20
21/01/2024,21,66,0,28,0,19,0,31,0,65,45,0,24,0
22/01/2024,0,58,0,29,0,16,24,29,0,76,40,15,0,0
23/01/2024,0,54,0,61,0,27,24,18,0,54,36,0,0,0
24/01/2024,0,56,0,37,0,18,18,21,0,71,33,0,0,0
25/01/2024,0,59,0,28,0,23,18,22,17,65,43,0,24,0
26/01/2024,0,48,0,48,0,0,0,24,0,67,22,0,0,0
27/01/2024,0,53,0,42,0,38,24,26,0,63,0,0,0,21
28/01/2024,0,54,0,0,25,25,25,22,0,79,38,0,16,0
29/01/2024,0,44,0,0,0,18,0,15,16,77,32,0,33,0
30/01/2024,0,55,0,34,0,21,21,0,0,67,38,21,0,0
31/01/2024,0,46,0,0,0,0,0,17,0,71,29,0,19,0
01/02/2024,0,34,0,41,0,19,18,23,0,65,29,0,21,0
02/02/2024,0,41,0,0,0,0,0,21,0,46,0,0,0,0
03/02/2024,0,52,0,0,28,0,0,0,0,56,26,0,26,0
04/02/2024,0,46,0,27,0,14,18,29,0,80,37,0,22,0
05/02/2024,0,69,0,27,0,25,22,24,0,64,37,0,20,0
06/02/2024,0,39,0,43,0,15,16,20,0,84,37,0,22,0
07/02/2024,0,57,0,35,0,16,0,19,0,88,36,0,0,0
08/02/2024,0,37,0,25,0,31,0,28,0,73,39,19,21,0
09/02/2024,0,45,0,35,0,20,0,32,0,77,24,0,35,0
10/02/2024,0,39,0,37,0,23,0,19,20,72,0,0,0,0
11/02/2024,0,73,0,23,0,21,22,31,0,76,31,0,0,0
12/02/2024,0,68,0,37,0,19,24,28,0,71,28,0,21,0
13/02/2024,0,82,0,32,0,0,16,29,0,80,33,0,0,0
14/02/2024,0,62,0,31,0,0,19,14,0,73,33,0,0,0
15/02/2024,0,60,0,34,0,0,21,26,0,68,25,0,0,0
16/02/2024,0,49,0,44,0,31,19,0,19,53,25,41,0,0
17/02/2024,0,57,0,0,0,0,0,23,0,54,28,0,0,0
18/02/2024,0,68,0,32,0,16,0,26,0,68,36,0,28,0
19/02/2024,0,62,0,30,0,24,17,20,0,69,43,0,18,0
20/02/2024,0,57,0,29,0,19,0,18,0,61,38,0,25,0
21/02/2024,0,60,0,24,0,0,20,25,0,96,46,0,0,0
22/02/2024,0,70,0,28,0,21,16,18,0,81,22,21,0,0
23/02/2024,0,78,0,39,0,22,0,29,0,50,0,0,0,0
24/02/2024,0,67,0,0,0,0,0,0,0,65,0,0,21,0
25/02/2024,0,43,0,39,0,21,21,27,21,74,37,0,20,0
26/02/2024,0,62,0,39,0,23,19,19,0,58,49,0,0,0
27/02/2024,0,48,0,29,0,0,0,23,0,59,21,19,22,0
28/02/2024,0,56,0,23,0,21,0,18,0,59,32,0,0,0
29/02/2024,0,45,0,34,0,25,17,23,0,84,33,0,0,0
01/03/2024,0,50,0,0,0,0,0,0,0,57,0,0,23,0
02/03/2024,0,68,0,28,0,0,0,0,0,52,22,0,0,0
03/03/2024,21,82,0,41,0,18,17,22,0,91,48,0,20,0
04/03/2024,0,53,0,47,0,20,0,31,19,87,40,0,0,0
05/03/2024,0,46,0,0,0,26,0,16,0,91,29,0,0,0
06/03/2024,0,72,0,25,0,20,21,23,0,62,46,0,20,0
07/03/2024,0,70,0,0,0,17,16,26,0,77,36,0,25,0
08/03/2024,0,73,0,33,0,31,0,29,0,35,31,0,30,0
09/03/2024,0,84,0,0,34,48,0,0,0,45,35,0,0,0
10/03/2024,0,57,0,27,0,32,0,27,14,83,36,0,26,0
11/03/2024,0,59,0,28,0,17,22,21,18,42,50,0,21,0
