Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
27/03/2021,0,64,0,33,0,10,0,0,0,9,0,0,0,0
28/03/2021,55,71,0,36,0,0,0,0,7,8,0,0,0,0
29/03/2021,39,53,26,31,0,7,0,0,0,12,6,0,0,0
30/03/2021,40,57,0,0,0,12,0,0,5,12,0,7,6,0
31/03/2021,30,47,32,32,0,0,0,0,0,10,0,0,6,0
01/04/2021,31,46,0,29,0,8,0,0,7,10,7,0,8,0
02/04/2021,45,74,0,36,0,8,0,0,7,0,6,7,0,0
03/04/2021,33,61,0,57,0,9,0,0,0,10,0,0,0,0
04/04/2021,45,58,26,46,22,5,0,0,0,17,0,0,0,0
05/04/2021,61,52,27,27,0,9,0,0,0,12,0,0,7,0
06/04/2021,29,62,0,36,0,8,0,0,0,11,5,0,8,0
07/04/2021,27,63,20,39,0,11,0,0,0,12,8,0,0,0
08/04/2021,34,55,32,0,0,7,0,0,0,7,5,0,5,0
09/04/2021,58,45,27,25,0,8,0,0,0,8,0,0,0,0
10/04/2021,56,57,35,37,0,11,0,0,6,10,6,0,0,0
11/04/2021,38,42,64,62,0,6,0,0,0,11,14,0,0,0
12/04/2021,47,59,25,37,0,8,8,7,6,14,5,0,7,0
13/04/2021,38,39,0,25,0,17,14,9,0,12,10,0,6,0
14/04/2021,27,44,25,49,0,14,13,11,0,7,5,0,5,0
15/04/2021,40,44,0,39,0,0,0,13,0,9,0,0,6,0
16/04/2021,39,57,30,47,0,8,0,7,0,10,0,0,7,0
17/04/2021,41,53,31,40,0,12,8,0,0,7,0,0,9,0
18/04/2021,38,75,0,52,0,8,6,7,0,18,9,0,8,0
19/04/2021,40,56,29,34,0,9,9,10,0,16,7,0,0,0
20/04/2021,40,61,28,27,0,12,5,9,0,13,9,0,5,0
21/04/2021,34,74,0,45,0,9,8,8,0,15,7,5,5,0
22/04/2021,26,52,0,33,0,100,0,0,0,15,6,0,5,0
23/04/2021,41,35,34,43,0,26,0,9,0,13,0,0,0,0
24/04/2021,52,86,0,62,0,18,0,0,9,11,6,0,0,0
25/04/2021,44,77,30,37,0,8,6,0,0,13,11,0,0,0
26/04/2021,39,69,30,35,0,13,6,6,0,15,0,0,5,0
27/04/2021,36,63,0,37,0,8,0,0,0,17,7,0,8,0
28/04/2021,57,53,0,42,0,11,7,10,0,15,0,0,6,0
29/04/2021,38,51,0,44,0,8,12,12,5,16,9,0,7,0
30/04/2021,30,35,26,50,0,9,7,6,0,9,0,0,0,0
01/05/2021,51,66,0,35,0,11,0,0,7,12,0,0,8,0
02/05/2021,52,58,0,43,0,9,0,6,0,19,9,0,0,0
03/05/2021,30,54,26,33,31,12,0,5,0,13,7,0,6,0
04/05/2021,32,70,20,44,0,7,0,6,0,11,7,0,8,0
05/05/2021,30,64,0,41,21,6,8,6,0,17,10,0,11,5
06/05/2021,44,64,0,33,0,10,0,0,0,15,0,0,0,0
07/05/2021,42,50,0,33,0,8,0,0,0,10,0,0,0,0
08/05/2021,35,73,0,0,0,16,8,7,0,11,12,0,0,0
09/05/2021,40,65,0,31,0,0,0,0,0,14,9,0,0,0
10/05/2021,35,51,0,22,0,12,0,0,0,21,0,0,0,0
11/05/2021,0,88,0,22,33,9,5,6,0,9,5,0,0,0
