Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/01/2023,46,70,0,28,0,36,10,12,13,83,25,0,37,0
02/01/2023,33,71,0,31,0,27,0,9,11,82,23,0,25,0
03/01/2023,38,61,20,41,0,30,18,15,0,86,39,0,25,0
04/01/2023,47,71,0,35,0,31,14,15,0,88,25,0,17,0
05/01/2023,27,56,0,26,26,24,11,16,0,74,21,0,27,0
06/01/2023,44,41,0,27,0,29,0,0,0,73,18,20,29,0
07/01/2023,51,76,0,21,0,27,0,0,0,70,25,0,29,0
08/01/2023,37,73,0,35,0,20,11,13,0,90,47,14,37,0
09/01/2023,48,68,0,25,0,27,0,16,9,72,47,0,30,0
10/01/2023,46,89,0,21,18,16,10,16,15,74,21,15,18,0
11/01/2023,35,58,0,20,18,17,10,15,0,72,35,0,19,0
12/01/2023,42,66,0,35,0,18,11,15,0,60,20,0,15,0
13/01/2023,46,64,0,27,0,15,0,15,21,56,0,0,24,0
14/01/2023,39,57,0,50,0,22,0,0,0,44,23,0,28,0
15/01/2023,33,92,0,31,21,17,11,18,0,77,38,0,17,0
16/01/2023,46,82,0,32,23,25,0,0,0,70,27,0,19,0
17/01/2023,43,64,0,42,0,19,12,14,12,73,30,0,18,0
18/01/2023,54,74,0,33,0,49,12,11,17,79,31,20,36,0
19/01/2023,48,54,0,28,0,56,10,12,10,62,32,0,19,0
20/01/2023,42,45,0,38,0,34,0,0,0,68,0,0,23,0
21/01/2023,30,66,0,0,0,25,0,0,12,73,23,0,25,0
22/01/2023,34,73,0,23,17,22,13,21,10,86,45,18,14,0
23/01/2023,43,69,0,0,17,16,11,15,12,87,42,16,26,0
24/01/2023,42,56,0,31,21,17,11,13,0,83,28,17,22,0
25/01/2023,32,61,0,23,0,15,11,14,0,67,37,0,34,0
26/01/2023,36,46,0,32,0,22,12,13,0,61,30,28,21,0
27/01/2023,24,54,0,32,0,20,0,11,0,47,0,0,19,0
28/01/2023,56,76,0,44,0,19,0,13,24,48,0,0,18,0
29/01/2023,32,75,0,42,22,21,0,10,13,84,28,0,20,0
30/01/2023,37,60,18,29,0,16,0,14,0,83,31,18,33,0
31/01/2023,37,68,21,27,0,13,12,19,0,84,45,0,18,0
01/02/2023,24,64,0,75,0,14,10,10,0,64,23,0,19,0
02/02/2023,23,54,0,29,0,0,0,10,10,54,36,0,26,0
03/02/2023,27,60,32,42,0,21,13,16,0,40,0,0,20,0
04/02/2023,45,70,23,24,0,14,0,14,0,65,25,21,19,0
05/02/2023,37,57,20,43,0,16,9,11,10,77,24,16,19,16
06/02/2023,33,69,0,28,16,14,0,18,12,64,27,0,25,0
07/02/2023,46,58,0,31,0,18,10,19,14,65,24,0,18,0
08/02/2023,44,78,0,24,0,16,0,0,9,74,24,0,21,0
09/02/2023,0,66,0,0,0,19,11,14,13,70,31,0,22,0
10/02/2023,37,64,0,36,0,15,0,0,0,47,33,0,20,0
11/02/2023,38,80,0,0,0,23,15,16,12,69,21,0,19,0
12/02/2023,44,66,0,32,0,16,15,15,0,78,42,0,20,0
13/02/2023,25,63,21,26,0,15,0,0,10,62,42,0,21,0
14/02/2023,26,71,18,22,0,14,10,16,11,70,31,0,25,0
15/02/2023,32,64,0,28,0,20,0,15,14,77,29,36,27,0
16/02/2023,52,45,0,27,0,18,14,15,13,67,27,0,20,0
17/02/2023,40,94,0,42,0,29,0,16,0,68,0,0,24,0
18/02/2023,33,70,0,31,0,16,15,15,14,77,20,0,29,0
19/02/2023,36,81,0,37,0,14,0,10,10,93,31,0,28,0
20/02/2023,32,59,0,29,18,0,9,12,0,81,26,0,20,0
21/02/2023,40,75,17,36,0,16,12,12,0,78,32,0,26,0
22/02/2023,44,65,0,33,0,13,11,19,0,68,21,0,21,0
23/02/2023,33,49,0,23,0,10,0,10,0,79,20,0,0,0
24/02/2023,33,78,0,30,0,13,0,13,0,50,25,0,0,0
25/02/2023,49,71,0,26,0,0,0,0,0,37,0,0,22,0
26/02/2023,29,61,0,39,18,16,15,12,0,81,32,0,16,0
27/02/2023,45,52,0,18,0,15,10,19,0,85,34,14,15,14
28/02/2023,36,65,0,32,0,15,10,15,0,76,27,14,27,0
01/03/2023,26,48,0,27,0,21,11,12,0,59,29,19,24,0
02/03/2023,0,53,0,19,0,20,10,11,0,56,29,0,20,0
03/03/2023,36,83,0,43,0,31,12,0,13,67,0,22,19,0
04/03/2023,48,82,0,23,0,19,15,0,0,43,0,0,27,0
05/03/2023,38,58,0,34,0,19,0,12,10,81,19,0,28,0
06/03/2023,41,80,32,24,0,35,0,0,11,57,27,0,0,0
07/03/2023,0,78,0,27,0,36,15,25,0,54,19,0,18,0
08/03/2023,0,48,0,20,0,100,0,13,0,89,29,0,34,0
09/03/2023,0,59,0,39,0,86,0,15,9,71,30,0,26,0
10/03/2023,0,53,0,34,28,64,0,0,0,58,17,20,32,0
11/03/2023,0,72,0,30,0,35,13,0,0,55,22,0,19,0
12/03/2023,0,61,19,37,0,39,0,15,0,86,31,0,0,0
13/03/2023,0,64,0,32,0,34,0,22,13,74,35,0,27,0
14/03/2023,0,70,17,30,0,41,0,12,0,62,26,0,27,0
15/03/2023,0,52,18,34,0,30,15,15,0,65,20,0,29,0
16/03/2023,0,63,0,23,0,28,10,11,13,62,38,0,0,0
17/03/2023,0,53,0,39,0,37,0,0,0,38,19,0,20,0
18/03/2023,0,68,0,35,0,27,0,0,0,48,20,0,32,0
19/03/2023,0,63,0,25,0,24,9,10,0,84,30,13,22,0
20/03/2023,0,77,0,23,0,20,0,11,11,63,27,0,21,0
21/03/2023,0,63,0,29,0,21,13,21,11,68,29,16,18,0
22/03/2023,0,72,0,24,26,14,13,18,0,79,35,0,33,0
23/03/2023,0,69,19,36,20,16,0,12,0,53,31,0,30,0
24/03/2023,0,62,0,0,0,22,0,0,11,50,25,19,0,0
25/03/2023,0,79,0,26,0,17,0,16,0,55,22,29,19,0
26/03/2023,0,75,0,30,18,25,9,14,13,73,29,0,29,0
27/03/2023,0,47,0,20,0,20,11,13,9,56,30,0,19,0
