Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/01/2022,60,59,0,30,0,56,0,0,0,65,0,0,0,0
02/01/2022,28,65,0,48,21,55,0,15,0,68,54,0,0,0
03/01/2022,41,58,0,30,0,54,15,0,14,90,32,0,0,0
04/01/2022,32,53,0,33,0,35,0,0,0,53,44,0,0,0
05/01/2022,31,47,0,34,0,32,0,0,0,85,47,0,0,0
06/01/2022,0,68,0,39,0,37,0,0,0,63,37,0,0,0
07/01/2022,45,46,0,32,0,39,0,19,20,0,0,0,50,0
08/01/2022,57,49,24,55,0,20,0,0,0,61,0,0,35,0
09/01/2022,39,51,20,22,0,26,15,0,0,57,37,0,0,0
10/01/2022,32,54,0,44,19,22,0,0,0,66,40,0,0,0
11/01/2022,36,56,22,32,0,34,18,18,0,73,40,0,40,0
12/01/2022,22,55,0,38,0,36,0,0,0,52,0,36,32,0
13/01/2022,50,68,0,29,0,39,0,0,0,70,35,0,0,0
14/01/2022,0,36,33,43,0,25,0,24,0,41,0,0,0,0
15/01/2022,48,68,0,47,0,22,0,20,0,62,0,0,0,0
16/01/2022,37,38,0,31,0,30,0,0,0,65,31,0,0,0
17/01/2022,27,89,0,37,0,37,22,21,0,52,47,0,30,0
18/01/2022,48,60,0,0,0,39,0,0,0,57,32,0,0,0
19/01/2022,37,43,20,39,0,16,0,23,0,61,40,0,0,0
20/01/2022,33,64,0,23,0,32,0,16,0,57,32,29,0,0
21/01/2022,45,72,0,0,0,27,0,0,0,41,0,0,56,0
22/01/2022,54,66,0,40,29,34,0,0,0,44,0,0,44,0
23/01/2022,25,46,21,37,0,36,14,0,12,80,34,0,25,0
24/01/2022,48,57,20,25,0,29,0,16,0,69,36,0,24,0
25/01/2022,33,59,0,33,0,25,0,25,20,53,31,0,28,0
26/01/2022,23,50,0,37,0,26,15,15,16,60,37,0,0,0
27/01/2022,25,71,0,37,0,32,0,0,0,72,55,0,0,0
28/01/2022,42,53,0,35,0,28,0,0,0,49,0,0,0,0
29/01/2022,29,48,0,42,0,31,0,0,0,42,0,0,0,0
30/01/2022,41,41,34,40,0,24,0,15,0,56,39,0,0,0
31/01/2022,45,45,0,49,0,23,16,15,0,64,28,0,0,0
01/02/2022,37,40,28,26,0,31,0,17,0,53,31,49,30,0
02/02/2022,40,70,22,33,0,27,0,18,0,85,0,0,48,0
03/02/2022,20,53,0,26,0,29,0,0,0,65,0,0,0,0
04/02/2022,31,47,28,38,0,58,0,17,0,45,0,0,0,0
05/02/2022,41,42,27,41,0,100,19,23,21,33,0,0,44,0
06/02/2022,24,52,0,23,0,56,0,20,0,70,27,0,35,0
07/02/2022,0,52,0,35,24,47,0,18,0,71,27,0,47,33
08/02/2022,26,51,0,45,22,28,16,19,0,85,45,0,25,0
09/02/2022,31,42,34,51,0,24,17,18,0,62,28,0,27,0
10/02/2022,35,63,0,34,24,27,0,0,0,66,0,0,53,0
11/02/2022,27,51,0,34,0,23,0,0,0,55,0,0,35,0
12/02/2022,27,72,0,27,0,34,0,0,0,93,0,0,34,0
13/02/2022,36,55,21,35,0,39,0,0,0,69,62,0,33,0
14/02/2022,39,65,0,33,0,22,0,12,0,74,34,0,27,0
15/02/2022,42,72,27,37,15,21,0,13,0,43,37,0,22,20
16/02/2022,40,51,23,42,24,36,12,15,0,56,34,0,0,0
17/02/2022,30,58,0,44,0,88,0,0,0,70,0,29,31,0
18/02/2022,44,47,21,39,0,79,0,14,0,74,26,0,28,0
19/02/2022,48,54,20,41,23,48,19,0,0,67,0,0,45,0
20/02/2022,41,64,0,37,0,22,13,0,11,87,37,19,27,0
21/02/2022,32,41,19,33,15,27,0,22,0,78,42,0,43,33
22/02/2022,44,52,23,24,0,30,0,17,0,70,48,22,30,32
23/02/2022,52,65,0,35,15,13,0,0,12,74,33,0,48,0
24/02/2022,32,59,0,29,0,27,15,13,0,69,44,0,32,0
25/02/2022,37,46,0,25,0,21,0,13,0,48,37,0,31,0
26/02/2022,35,71,15,27,0,32,16,17,15,52,26,0,39,0
27/02/2022,34,57,0,27,0,20,0,17,17,76,37,0,51,0
28/02/2022,25,45,0,46,0,20,16,0,14,74,40,0,0,0
01/03/2022,35,42,15,30,0,0,0,17,0,49,31,0,0,0
02/03/2022,39,48,16,35,19,25,0,0,0,67,36,0,35,0
03/03/2022,30,62,0,27,0,25,0,0,12,61,21,21,41,0
04/03/2022,39,58,0,36,20,24,0,0,17,0,0,0,25,0
05/03/2022,26,57,25,41,0,34,15,27,0,47,0,0,26,0
06/03/2022,48,56,0,32,0,26,15,13,0,71,41,22,25,0
07/03/2022,35,60,15,25,0,17,0,14,11,51,41,0,33,0
08/03/2022,35,62,20,27,0,25,15,19,0,44,36,0,38,0
