Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/01/2020,51,70,0,28,0,16,0,0,0,39,0,0,41,0
02/01/2020,55,48,0,29,0,12,0,0,0,55,0,0,55,0
03/01/2020,0,57,0,30,0,20,0,0,14,41,0,0,47,0
04/01/2020,34,55,0,33,0,15,0,0,0,38,0,0,21,0
05/01/2020,0,48,0,35,0,23,0,0,0,41,27,0,25,0
06/01/2020,62,72,0,48,0,17,0,0,0,58,24,0,24,0
07/01/2020,45,31,0,42,0,22,0,10,0,76,19,0,24,0
08/01/2020,43,43,0,42,0,25,0,10,0,34,21,0,20,0
09/01/2020,45,56,0,49,0,32,0,0,0,46,23,0,40,0
10/01/2020,48,74,0,37,0,48,0,0,0,41,0,0,31,0
11/01/2020,60,63,0,51,0,29,0,13,0,53,0,0,27,0
12/01/2020,38,48,0,27,0,22,0,0,0,58,30,19,33,0
13/01/2020,44,58,0,46,23,16,11,10,0,78,40,0,26,0
14/01/2020,33,56,0,45,0,18,0,11,0,54,23,0,18,0
15/01/2020,42,57,0,36,0,22,0,0,0,70,20,0,26,0
16/01/2020,29,38,0,27,0,25,0,0,0,64,20,0,26,0
17/01/2020,53,96,0,38,0,31,0,12,0,41,0,0,0,0
18/01/2020,66,63,0,0,0,33,0,0,18,37,0,26,24,0
19/01/2020,55,66,0,38,0,29,0,0,0,65,29,0,24,0
20/01/2020,29,55,0,33,0,100,0,0,0,70,27,0,22,0
21/01/2020,43,34,0,35,0,90,0,0,0,49,21,18,24,0
22/01/2020,47,54,0,43,0,48,0,0,0,39,30,0,31,0
23/01/2020,30,38,0,0,0,79,0,0,0,54,23,0,20,0
24/01/2020,45,36,0,41,0,56,0,0,0,43,0,0,25,0
25/01/2020,47,60,0,43,0,45,0,18,0,23,21,0,36,0
26/01/2020,35,63,0,49,0,95,0,0,14,61,30,0,0,0
27/01/2020,60,78,0,35,0,47,0,0,12,52,22,18,0,0
28/01/2020,38,26,0,52,0,32,0,11,0,61,32,0,38,0
29/01/2020,28,52,0,45,0,32,0,0,10,66,22,0,0,0
30/01/2020,33,50,0,63,0,19,0,0,0,39,19,27,20,0
31/01/2020,43,57,0,48,0,27,0,13,0,65,0,0,23,0
01/02/2020,43,74,0,38,0,33,0,14,0,37,0,37,25,0
02/02/2020,73,47,0,67,0,37,10,0,0,79,27,0,0,21
03/02/2020,59,50,0,33,0,12,9,10,0,59,22,0,20,0
04/02/2020,41,76,0,53,0,20,0,12,0,58,31,0,36,19
05/02/2020,35,40,0,46,0,27,0,11,23,37,0,0,18,0
06/02/2020,27,69,0,39,0,24,0,13,12,47,19,0,19,0
07/02/2020,52,67,0,35,0,30,0,0,0,48,0,24,20,0
08/02/2020,44,49,0,53,0,24,0,0,0,58,28,0,0,0
09/02/2020,33,52,0,53,0,22,0,0,10,42,19,0,24,0
10/02/2020,40,55,0,0,0,19,0,0,0,51,20,0,20,0
11/02/2020,36,47,0,44,0,26,0,0,11,56,28,0,18,0
12/02/2020,36,67,0,0,0,18,0,0,0,65,28,0,30,0
13/02/2020,33,66,0,30,0,27,11,0,19,52,21,0,29,0
14/02/2020,52,58,0,0,0,23,0,0,13,30,0,0,29,0
15/02/2020,30,58,0,47,0,23,0,0,0,42,25,0,28,0
16/02/2020,41,46,0,34,39,23,0,10,0,72,20,0,28,0
17/02/2020,50,40,30,0,0,33,0,0,0,60,0,24,20,0
18/02/2020,27,54,0,43,0,25,0,0,0,84,25,0,25,0
19/02/2020,46,74,0,45,0,35,0,0,20,76,25,0,33,0
20/02/2020,49,56,0,59,0,22,0,0,10,57,0,0,26,0
21/02/2020,64,50,33,62,0,20,0,14,0,41,0,0,0,0
22/02/2020,52,35,0,40,0,20,0,0,0,32,26,0,0,0
23/02/2020,37,68,0,42,0,17,0,0,0,59,27,0,18,0
24/02/2020,52,69,0,51,0,24,0,12,0,50,29,0,17,0
25/02/2020,62,43,0,52,0,24,0,12,0,43,0,0,17,0
26/02/2020,34,58,0,43,0,34,0,0,0,52,21,0,0,0
27/02/2020,0,51,31,35,0,20,0,10,0,61,19,0,17,0
28/02/2020,32,75,0,56,0,13,0,0,0,70,0,0,29,0
29/02/2020,41,53,0,40,0,0,0,0,0,100,0,0,0,0
01/03/2020,37,32,0,45,0,13,0,0,0,60,30,0,18,0
02/03/2020,25,57,0,33,0,13,0,0,0,31,0,0,0,0
