Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/07/2023,0,57,0,22,0,31,18,16,0,64,19,14,18,0
02/07/2023,0,50,0,17,0,29,22,23,0,59,23,10,16,0
03/07/2023,0,49,12,27,0,26,0,20,0,55,24,0,19,0
04/07/2023,0,35,0,25,0,18,0,20,0,54,24,0,18,0
05/07/2023,0,42,0,32,0,0,13,23,13,56,26,17,23,0
06/07/2023,0,42,0,19,0,32,0,0,12,36,18,11,26,0
07/07/2023,0,44,0,22,0,17,0,0,0,38,19,0,0,0
08/07/2023,0,34,0,17,0,23,22,0,0,38,0,0,15,0
09/07/2023,0,42,0,17,0,26,16,18,0,53,24,0,22,0
10/07/2023,0,41,0,24,0,0,0,19,0,54,23,0,22,0
11/07/2023,0,35,0,13,20,18,0,19,0,48,22,0,19,0
12/07/2023,0,29,0,22,0,23,25,0,0,50,24,0,0,0
13/07/2023,0,34,0,24,0,36,0,18,15,52,20,0,17,0
14/07/2023,0,44,0,0,0,25,0,18,0,36,14,0,17,0
15/07/2023,0,45,0,22,0,37,0,18,0,36,18,0,0,0
16/07/2023,13,37,0,14,0,23,0,16,0,53,25,0,13,0
17/07/2023,0,34,0,13,18,46,0,21,0,53,19,0,13,0
18/07/2023,0,42,14,25,13,35,0,15,0,54,28,13,16,0
19/07/2023,0,46,0,14,0,26,0,0,0,56,24,0,11,0
20/07/2023,0,37,0,16,0,33,21,18,13,43,15,0,20,0
21/07/2023,0,50,0,24,17,25,17,25,32,49,0,0,19,0
22/07/2023,0,49,0,21,0,33,0,25,0,44,15,0,19,0
23/07/2023,0,35,0,17,0,25,0,17,0,55,33,0,14,0
24/07/2023,0,53,0,0,0,27,0,0,0,44,12,0,14,0
25/07/2023,0,42,0,27,0,22,16,16,0,49,27,12,16,0
26/07/2023,0,36,0,26,0,32,0,12,17,46,17,0,14,0
27/07/2023,0,33,0,20,0,32,0,0,16,41,19,0,0,0
28/07/2023,0,45,0,20,0,25,18,24,17,39,0,0,19,0
29/07/2023,0,35,0,18,0,35,31,19,0,33,0,24,14,0
30/07/2023,0,39,0,20,0,21,0,0,0,51,25,12,13,0
31/07/2023,0,41,0,21,0,18,0,15,0,51,21,0,13,0
01/08/2023,0,42,0,17,0,19,18,16,0,51,25,0,0,0
02/08/2023,0,36,0,0,0,25,0,27,0,54,34,0,15,0
03/08/2023,0,38,0,68,0,22,0,28,0,35,24,0,13,0
04/08/2023,0,38,0,30,0,43,0,18,0,28,14,0,0,0
05/08/2023,0,48,0,0,0,40,0,24,0,33,17,22,19,0
06/08/2023,0,29,0,19,0,23,17,34,0,51,25,0,22,0
07/08/2023,0,44,0,12,0,22,22,23,0,54,17,0,19,0
08/08/2023,0,35,0,15,0,34,25,31,0,49,24,0,0,0
09/08/2023,0,41,0,14,0,20,19,25,0,39,14,0,13,0
10/08/2023,0,28,0,13,0,25,16,14,0,44,0,0,13,0
11/08/2023,0,42,0,22,0,34,0,19,0,24,0,0,26,0
12/08/2023,0,57,30,19,0,43,0,0,0,40,0,0,19,0
13/08/2023,0,43,13,14,0,26,14,0,0,45,21,0,16,0
14/08/2023,0,42,12,18,0,28,15,14,0,46,27,0,20,0
15/08/2023,0,47,13,14,0,0,0,27,0,37,18,0,18,0
16/08/2023,0,49,14,15,0,23,14,20,0,56,24,0,16,0
17/08/2023,0,30,0,0,0,17,0,0,0,39,24,0,18,0
18/08/2023,0,35,0,19,0,0,21,0,0,29,0,0,19,0
19/08/2023,0,43,0,25,0,45,23,0,17,42,18,0,25,0
20/08/2023,0,38,20,20,0,37,16,13,0,55,24,0,11,0
21/08/2023,0,46,0,0,0,14,0,19,0,59,25,13,16,17
22/08/2023,0,25,0,25,0,0,17,14,16,46,26,22,13,0
23/08/2023,0,43,0,17,0,29,20,21,0,39,16,0,15,0
24/08/2023,0,45,0,19,0,21,0,0,0,37,20,0,16,0
25/08/2023,0,41,0,32,0,27,0,25,0,28,17,0,16,0
26/08/2023,0,48,0,27,0,18,0,0,0,41,18,16,0,0
27/08/2023,0,34,13,0,0,29,17,0,16,54,20,12,0,0
28/08/2023,0,49,17,0,0,0,13,0,0,55,30,0,17,0
29/08/2023,0,48,0,33,14,34,15,17,0,49,19,17,26,0
30/08/2023,0,40,0,26,15,23,0,18,18,73,20,0,0,0
31/08/2023,0,35,0,0,0,32,0,0,0,34,14,0,15,0
01/09/2023,0,44,17,26,0,40,0,0,0,37,23,0,0,0
02/09/2023,0,52,0,0,0,26,0,0,0,36,19,0,0,0
03/09/2023,0,48,0,13,0,19,0,14,0,69,25,0,0,0
04/09/2023,0,59,0,14,0,30,16,19,0,68,24,0,25,0
05/09/2023,0,42,0,25,0,36,0,25,0,52,22,0,20,0
06/09/2023,0,32,14,13,0,44,0,0,18,57,20,0,15,0
07/09/2023,0,32,0,26,17,29,0,0,0,61,27,0,12,0
08/09/2023,0,33,0,16,0,0,0,22,0,45,15,0,20,0
09/09/2023,0,43,0,23,0,31,20,21,0,28,17,0,15,0
10/09/2023,0,43,0,23,0,26,18,31,0,61,22,0,12,0
11/09/2023,0,38,0,16,0,20,21,20,0,58,16,0,17,0
12/09/2023,0,31,0,0,0,42,0,0,0,36,33,0,19,0
13/09/2023,0,34,0,20,0,25,0,17,0,47,25,0,0,0
14/09/2023,0,41,0,0,0,20,0,0,0,45,0,0,17,0
15/09/2023,0,31,0,21,0,24,0,0,0,32,0,0,0,0
16/09/2023,0,51,0,25,0,0,0,37,0,43,0,0,0,0
17/09/2023,0,41,20,0,0,26,0,0,0,47,23,0,18,0
18/09/2023,0,40,0,13,0,38,16,16,0,64,22,0,16,0
19/09/2023,0,45,15,0,14,27,0,18,0,58,31,12,18,0
20/09/2023,0,42,0,13,0,33,20,0,0,47,21,0,19,0
21/09/2023,0,36,0,29,0,35,22,15,0,54,27,0,12,15
22/09/2023,0,36,0,19,0,35,0,0,0,28,16,0,0,0
23/09/2023,0,37,17,0,0,34,0,23,0,45,0,0,20,0
24/09/2023,0,45,0,27,0,35,0,0,0,31,19,0,0,0
25/09/2023,0,47,0,30,0,40,0,31,0,52,18,0,18,0
26/09/2023,0,43,0,0,0,40,0,19,0,42,22,0,17,0
27/09/2023,12,36,0,14,0,25,0,19,16,49,19,0,20,0
28/09/2023,0,50,0,17,0,15,0,0,14,56,22,0,12,12
29/09/2023,0,44,0,32,0,24,0,30,20,37,15,0,19,0
30/09/2023,0,42,0,24,0,27,19,19,0,46,0,0,0,0
01/10/2023,0,30,0,0,0,28,15,20,0,51,16,0,0,12
02/10/2023,0,41,0,19,0,24,0,0,0,49,20,0,0,0
03/10/2023,0,32,0,16,0,31,16,25,0,33,0,0,0,0
04/10/2023,0,48,0,18,0,15,0,16,0,45,23,0,14,0
05/10/2023,0,41,0,19,0,20,0,14,15,31,0,0,18,0
06/10/2023,0,30,0,21,0,28,0,0,0,45,14,26,0,0
07/10/2023,0,100,0,0,21,17,0,15,0,14,0,14,21,0
08/10/2023,0,95,0,12,17,16,17,28,0,16,17,16,14,0
09/10/2023,0,66,14,0,0,0,14,29,0,17,12,16,0,0
10/10/2023,0,62,21,29,13,14,13,25,0,26,11,0,16,0
11/10/2023,0,77,0,19,21,0,24,38,0,22,0,14,16,0
12/10/2023,0,89,0,39,0,0,0,27,0,34,15,16,15,0
13/10/2023,0,54,16,29,29,100,27,35,0,37,0,16,17,0
14/10/2023,0,62,0,43,21,62,23,26,0,29,17,17,0,0
15/10/2023,0,63,0,24,0,36,21,43,0,32,12,17,0,0
16/10/2023,0,51,0,17,0,23,20,23,0,23,14,16,0,0
17/10/2023,0,54,0,25,0,14,24,33,0,43,23,16,12,0
18/10/2023,0,59,0,20,0,17,22,27,0,29,0,10,17,0
19/10/2023,0,59,20,17,0,28,21,34,0,53,19,14,16,0
20/10/2023,0,37,0,29,0,0,19,43,0,49,0,0,0,0
21/10/2023,0,55,0,18,0,35,23,18,0,22,0,0,0,0
22/10/2023,0,54,15,19,0,30,19,23,0,41,21,13,14,0
23/10/2023,0,64,0,16,19,23,38,44,0,34,21,11,11,0
24/10/2023,0,52,0,31,0,18,21,44,0,38,15,0,0,0
25/10/2023,0,60,0,28,14,0,23,35,13,37,12,0,15,0
26/10/2023,0,41,0,26,0,0,19,21,0,39,15,11,0,0
27/10/2023,0,43,0,25,0,17,23,18,0,30,13,0,16,0
28/10/2023,0,58,0,21,0,24,0,33,0,31,15,0,0,0
29/10/2023,0,53,0,22,0,28,17,28,0,38,15,13,0,0
30/10/2023,0,38,16,22,0,33,19,26,0,45,19,0,18,0
31/10/2023,0,60,0,22,11,26,13,16,0,32,23,0,14,0
01/11/2023,0,45,15,22,0,14,0,24,0,42,17,13,17,0
02/11/2023,0,35,0,13,0,16,0,20,0,41,15,0,15,0
03/11/2023,0,24,0,22,0,28,0,0,0,24,0,0,0,0
04/11/2023,0,41,0,25,15,18,19,17,0,27,0,0,15,0
05/11/2023,0,33,0,23,0,27,14,20,0,43,26,0,11,0
06/11/2023,0,49,18,22,0,30,25,30,0,40,25,0,13,0
07/11/2023,0,36,0,25,0,27,17,26,0,48,21,0,22,0
08/11/2023,0,42,0,22,0,24,33,38,0,51,31,11,20,0
09/11/2023,0,52,14,18,0,25,21,32,0,42,25,11,0,0
10/11/2023,0,39,0,26,17,34,21,23,0,27,0,0,0,0
11/11/2023,0,51,0,25,0,28,0,23,0,37,14,0,13,0
12/11/2023,0,54,0,17,0,19,17,35,15,66,20,16,11,0
13/11/2023,0,46,0,19,0,27,17,24,0,56,32,0,15,0
14/11/2023,0,37,0,22,0,20,17,21,0,54,16,10,0,0
